mid,author,aid,title,created,length,pic,duration,tid,tname,view,danmaku,reply,like,coin,favorite
927587,木鱼水心,5046284,【木鱼微剧场】76届奥斯卡最佳动画长片《海底总动员》,1466502028,06:42,//i0.hdslb.com/bfs/archive/14bb07eed5e6fa1f9f26f40ab993739294ebb7ea.jpg,402,182,影视杂谈,114218,482,195,242,602,885
1643718,山下智博,6094868,【绅士大概一分钟】③三河不好好做特效了，宫崎也不好好做料理了！,1472608330,04:35,//i2.hdslb.com/bfs/archive/b714afb8c0216452d94577750372b4e588035669.jpg,275,138,搞笑,340572,3068,960,142,1619,650
43536,黑桐谷歌,524354,黑桐谷歌【战神升天视频攻略】04,1365044013,29:35,//i0.hdslb.com/bfs/archive/936ad8becc1a50bdee7f5801f9ce3922f8d09370.jpg,1775,17,单机游戏,74508,3584,108,23,48,135
10462362,天天卡牌,27525615,炉石传说：【天天素材库】 第105期,1532331284,08:06,//i0.hdslb.com/bfs/archive/85d70c0b772c6edc6732a5119ceae7398e9828b2.jpg,486,171,电子竞技,1208895,5234,1525,5597,7827,638
1532165,papi酱,24887600,papi酱的吸猫放送——如果面试官和各种职业混搭会是什么样的呢？,1528974515,05:19,//i2.hdslb.com/bfs/archive/47775725e57551b43cf43f38fbc6e90eecaf9c6e.jpg,319,138,搞笑,1848815,14149,3523,36923,31779,9703
2403047,嘟督不噶油,43565780,【嘟督咆哮解说】《生化危机2：最惨新人被咬记》第二话,1550153014,12:18,//i0.hdslb.com/bfs/archive/270ebe6e90ce69d48cec4d2c9d9172db48ec14b1.jpg,738,17,单机游戏,1059445,12686,2902,86619,92204,55099
168598,逍遥散人,46973568,【散人】贪到石乐志！随机洞窟探险的傻傻实况,1553256025,27:13,//i2.hdslb.com/bfs/archive/1da828265636c86e091b1fff187eab979d8f7c40.jpg,1633,172,手机游戏,202612,2397,980,12066,6276,2642
1643718,山下智博,1474650,【山下新节目】绅士旅游01 -札幌 和 富山-,1409210364,13:59,//i1.hdslb.com/bfs/archive/466a49538bdf2b2df5c68b3e4dab206cf8d987b6.jpg,839,138,搞笑,83060,2486,214,25,231,315
1532165,papi酱,16941391,想让12星座和平共处？你在逗我？,1512382844,04:52,//i2.hdslb.com/bfs/archive/19815f660ae8b4a3201843a26497aa8800b195c2.jpg,292,138,搞笑,2214941,47554,18459,28367,34989,21827
168598,逍遥散人,2375785,DC漫改大电影 与狼同行 一起来童话镇探险吧(完结),1432874626,455:21,//i1.hdslb.com/bfs/archive/d635d252cc88a0e1bcbdc0a6741657d1fc35b8e3.jpg
808171,吃素的狮子,7323682, 【诸葛/司徒/葛平】东汉末年分三国,1480510683,03:26,//i2.hdslb.com/bfs/archive/5165e417d78f4d2ffb4ae0193f7cd0421c7f9baa.jpg,206,22,鬼畜调教,138974,1315,1311,40,2973,1764
546195,老番茄,15958205,【老番茄】逃离公司！社畜大冒险！,1509696042,10:11,//i2.hdslb.com/bfs/archive/07d3a86d10078de93856b82d9922aefc717f19b8.jpg,611,172,手机游戏,952498,5529,1915,14096,35676,10577
1532165,papi酱,5013532,papi酱的不定期更新日常,1466247228,01:28,//i1.hdslb.com/bfs/archive/2e8992db62d464f97039d9382e4c6248ab215c17.jpg,88,138,搞笑,937664,1700,1795,623,3202,1960
1643718,山下智博,12599446,【非洲山下的雷雨烟花大会】烟花很美，但真的开始打雷了怎么办2333【绅士一分钟】,1501156803,09:20,//i0.hdslb.com/bfs/archive/a6710bb2369d75bc0a379899aa508a21b4b405cc.jpg,560,21,日常,231237,12746,2672,376,6921,1582
3380239,神奇的老皮,24936737,【真人版DNF】蓝拳vs卢克！,1529114427,01:57,//i0.hdslb.com/bfs/archive/e9b956f2512a14f14b885b12c3b97500357a55e5.jpg,117,65,网络游戏,908520,1165,1165,10231,15188,4277
1643718,山下智博,5980165,【绅士大概一分钟】③网红不是你想做，想做就能做，西瓜蛋糕也一样,1472003106,04:09,//i0.hdslb.com/bfs/archive/132a09f29cc0bd38e5744ac8d04dac2e5ee5a891.jpg,249,138,搞笑,421998,3293,1353,207,1938,937
562197,中国BOY超级大猩猩,6586427,Pewdiepie tuber simulator丨主播已成副业 买家具才是重头,1475838216,16:02,//i2.hdslb.com/bfs/archive/6ff7c13429b5e3e601f75ef740736b2438932314.jpg,962,17,单机游戏,363245,4014,2148,379,2286,1178
7487399,努力的Lorre,36995668,死侍/屠杀/灭霸大混战《毒液宇宙》大结局？,1543485642,07:43,//i1.hdslb.com/bfs/archive/dc9953a9d59dfa6930e04e64a92622d89c6268c5.jpg,463,27,综合,1012064,2873,3640,31442,33869,11142
562197,中国BOY超级大猩猩,27460035,在5分钟内要做20多碗拉面？！疯了吧（VR游戏）,1532249649,09:56,//i1.hdslb.com/bfs/archive/784e741eaefe2b569be01136e3057ddc42aeed8f.jpg,596,17,单机游戏,960723,7932,2894,21792,20605,4766
1643718,山下智博,13516975,【火影忍者】山下挑战忍术绕口令！naruto看了就哭【绅士一分钟】,1503059455,05:02,//i1.hdslb.com/bfs/archive/1205e87feb517a8255038139a9ef462cd953fd38.png,302,138,搞笑,324537,5058,2693,438,9834,1454
562197,中国BOY超级大猩猩,3178585,车祸英雄EP3丨一个天大的FLAG！,1446815493,23:00,//i1.hdslb.com/bfs/archive/89bfcde44c0cfe1f852809d88445ae34c731f91e.jpg,1380,17,单机游戏,97872,1459,157,126,227,409
562197,中国BOY超级大猩猩,8290325,在游戏中给自己设置困难！,1485704622,12:33,//i0.hdslb.com/bfs/archive/8a7b490cbc75b90215a15230779d0ed51330831b.png,753,17,单机游戏,657594,10802,3583,375,6127,1613
43536,黑桐谷歌,852064,黑桐谷歌【COD GHOST中文字幕视频攻略解说】06联邦节,1385554418,18:07,//i0.hdslb.com/bfs/archive/705a2208cf45665bc8524db3b049dfc81b31fbc1.jpg,1087,17,单机游戏,29412,1262,75,3,64,65
10462362,天天卡牌,36454978,【天天吃鸡】第43期 反复横跳 绝地坂本天秀萌新小队,1542799853,12:35,//i1.hdslb.com/bfs/archive/6f3faebb4628ee76f1e9df8920d22d9cf36d2d62.jpg,755,65,网络游戏,549505,3113,612,14743,18883,4505
1532165,papi酱,8175634,papi酱致某些讨人厌的亲戚,1485165662,04:46,//i0.hdslb.com/bfs/archive/83c68f6b8e399ef939ba515bbc152d210d981279.jpg,286,138,搞笑,2780761,32508,9121,11545,80235,33314
168598,逍遥散人,983162,2014闲聊之视频篇,1393307619,64:42,//i0.hdslb.com/bfs/archive/706267c49686a09aebf8ff142bcf8043ab024e9e.jpg,3882,21,日常,228113,17950,1436,224,2214,2655
1643718,山下智博,16154752,三河给你讲个恐怖故事，考验你汉语听力的时候到了【绅士一分钟】,1510198466,06:41,//i0.hdslb.com/bfs/archive/4b29143b535dd8a097d9b41ce72a35292b6e5fae.png,401,138,搞笑,224636,6575,1417,2399,4778,1430
433351,EdmundDZhang,23544095,【老E】比魂斗罗还要难10倍的游戏！,1526533803,11:38,//i0.hdslb.com/bfs/archive/52c906de3e2f5d3f7f6fbc7b04f029f82c8720c9.jpg,698,17,单机游戏,1151073,4870,2620,17739,51577,10981
4162287,渗透之C君,11583690,【C菌】任天堂全球唯一旗舰店! 【旅游小电影: 纽约(第二集)】,1498286707,18:23,//i2.hdslb.com/bfs/archive/37d49c9ae44ca553b7a8f325b7c2d60fab7aea1b.jpg,1103,21,日常,498017,19539,3774,1529,33254,6393
10462362,天天卡牌,4112453,【黄金时刻】炉石传说黄金公开赛广州站精彩集锦,1458131086,11:07,//i2.hdslb.com/bfs/archive/2237fbb3e129ca55955fa8d2ad492935a65f5994.jpg,667,171,电子竞技,364671,2114,500,13,1221,372
777536,LexBurner,14631076,【Lex】老蕾同志教你打王八拳,1505889600,15:49,//i1.hdslb.com/bfs/archive/6e9c28c9b96b8037626a8a750658c1bdc225215f.jpg,949,172,手机游戏,337802,1669,1828,1879,3405,707
123938419,嘻咦啊看,37356097,【嘻咦啊看】你偷看过别人的日记吗？,1543845484,20:38,//i0.hdslb.com/bfs/archive/0b3ab031ec8fed08859cdd4c42ed60cabd8a4d86.jpg,1238,182,影视杂谈,1225248,15540,4922,42609,60239,10965
7487399,努力的Lorre,10174694,DC排名第一的漫画《守望者》导读,1493447681,06:25,//i1.hdslb.com/bfs/archive/3bc02088d936b8e7849d233ed442704414c4a858.jpg,385,27,综合,634792,2655,2132,2961,6267,10680
808171,吃素的狮子,14221476,新日暮里？！一个充满了神秘哲学的圣地？？【梗百科10】,1504691283,07:11,//i0.hdslb.com/bfs/archive/aa8b8faa43e7ec3f2a161e6c73934a6f89a402f0.jpg,431,27,综合,450478,4115,1533,2063,12305,8618
168598,逍遥散人,2048097,【散人】孔明的陷阱 I wanna be the retro(P4),1424918563,41:44,//i0.hdslb.com/bfs/archive/af0fe110e6baccff7cf843675160503ad9939250.jpg,2504,17,单机游戏,310040,16010,861,275,1517,1652
777536,LexBurner,32588145,【Lex】史上最沙雕恋爱动画，结婚多年妻子竟不让亲嘴？背后的真相居然如此恐怖！,1538054135,17:11,//i2.hdslb.com/bfs/archive/3d3f11c4d11d909bb42b88a9ca91d315f8dd3d19.jpg,1031,27,综合,2218782,50472,5994,54666,55939,17790
423895,怕上火暴王老菊,4473028,王老菊的新黑魂之旅13：跌落神坛的太阳之王,1461621948,74:00,//i1.hdslb.com/bfs/archive/669c3249c71e632a58cc814033a4d3a0fd65f415.jpg,4440,17,单机游戏,491317,12551,1458,432,4618,2128
927587,木鱼水心,3571895,【星球大战7】【木鱼三分钟影评】——我知道评或不评你都会去看的,1452658539,03:08,//i2.hdslb.com/bfs/archive/018380f331138210817fa00a9c9579617a017e69.jpg,188,182,影视杂谈,86068,318,271,79,303,466
1643718,山下智博,8863748,【Q君PLAYPLAY】断臂三河与平胸人妻在漆黑小屋里大战三百个回合！,1488164223,26:05,//i2.hdslb.com/bfs/archive/ed6ca201c7d95935e397d359865f22f8174ea727.jpg,1565,17,单机游戏,243689,4227,618,126,1989,842
1643718,山下智博,3489974,【绅士大概一分钟】⑤绅士新年许愿别报警,1451603153,03:19,//i1.hdslb.com/bfs/archive/ba3a06f6241699269b768063e323b07e6c069a13.jpg,199,138,搞笑,240876,14572,1304,16,1912,459
10462362,天天卡牌,20906426,【煮鸡时刻】第36期 赌博是充满祸水的深渊,1521345910,10:00,//i1.hdslb.com/bfs/archive/3fa6ce18b787d6a2057c614416d0d330d6131fe2.jpg,600,17,单机游戏,736151,3526,1030,2578,6914,851
546195,老番茄,21578188,【老番茄】火星语吃鸡！RAP竟起源于中国？,1522836057,07:36,//i2.hdslb.com/bfs/archive/1b7a2de59ced8e2282fe96ec1586a9fa12565e89.jpg,456,65,网络游戏,1592986,9686,3449,35508,79410,41251
433351,EdmundDZhang,23937509,【老E】孤独一人直面5年前自己最害怕的游戏 然而......,1527301817,15:27,//i1.hdslb.com/bfs/archive/61774e86c709fefffdf07b1dab133d1ae2fcbbc9.jpg,927,17,单机游戏,1314317,11431,3553,18841,44994,11624
250858633,华农兄弟,42516994,华农兄弟：去兄弟家抓竹鼠，有一只超凶，费了好大的功夫才抓出来,1549258228,03:54,//i2.hdslb.com/bfs/archive/0e86e42c389f1e8389586fd98bd8970ee92f6135.jpg,234,21,日常,1121539,7629,3366,41474,14518,2691
4162287,渗透之C君,1245343,吓！裂！肾！大片级实况【死魂曲: 新解】P3补上神曲【第6-7章+Friend】,1404191146,98:04,//i0.hdslb.com/bfs/archive/6a4124c1b9e71676684a20d65137bf22e53ee57d.jpg,5884,17,单机游戏,286778,21757,696,336,2867,1283
927587,木鱼水心,24674804,【木鱼微剧场】《旺角卡门》不一样的黑帮电影，王家卫导演处女作,1528650289,20:51,//i1.hdslb.com/bfs/archive/a7c679d484edd5f4f8d5d82b4b3912ae16bbf91a.jpg,1251,182,影视杂谈,915843,5368,1994,13261,14751,4291
43536,黑桐谷歌,2080912,黑桐谷歌【神秘海域3德雷克的谎言】第七集 惨烈超难视频攻略,1425624817,72:00,//i0.hdslb.com/bfs/archive/c2a1d9e38faca11bbf5c2220b52a984637cf4d91.jpg,4320,17,单机游戏,138320,7158,564,52,824,409
927587,木鱼水心,15908965,【木鱼微剧场】《射雕英雄传》（P1）风雪夜的惊变与二十年的赌约,1509469541,25:11,//i0.hdslb.com/bfs/archive/9f3e4969deab5b492786ad885403f4a3d783454f.jpg,1511,182,影视杂谈,442987,5542,1857,2299,7610,1966
423895,怕上火暴王老菊,4047012,王老菊教你超级性感,1457430046,42:31,//i2.hdslb.com/bfs/archive/dbf68962bf3e48d7d660793387e932b67e295482.jpg,2551,17,单机游戏,635813,8770,2378,184,4106,2422
423895,怕上火暴王老菊,2146490,王老菊的血源之旅01：启程~太阳骑士的爆蛋之旅,1427335064,80:00,//i1.hdslb.com/bfs/archive/7966571d46cc75fe42e63a478c44e01f89c4ce10.jpg,4800,17,单机游戏,1394658,31020,1419,1495,4455,8906
10462362,天天卡牌,17809812,【煮鸡时刻】第27期 娱乐主播翻身记,1514705537,07:59,//i1.hdslb.com/bfs/archive/75e7c9aea984848e3bf99ec16512e9d4b53d34cb.jpg,479,17,单机游戏,762868,11465,1975,1783,6749,761
808171,吃素的狮子,18792835,【网络观察室10】不结婚！不买房！暴打美帝野心狼！,1517039353,29:50,//i2.hdslb.com/bfs/archive/5614ffbecbf8dbae24082275ab24f8f517a69184.jpg,1790,138,搞笑,484169,15766,4475,17031,52601,17932
927587,木鱼水心,20775331,【木鱼微剧场】《星际争霸2：虚空之遗》（上）En taro Zeratul！,1521039046,20:33,//i0.hdslb.com/bfs/archive/400794590ef757a085dbbe27cd5121c0d53d1ff4.jpg,1233,17,单机游戏,405447,3911,1425,4531,8661,2885
1643718,山下智博,5046482,【宫爆鸡丁】翻唱《红日》6/7直播回放,1466503035,04:20,//i0.hdslb.com/bfs/archive/dd0c61e8a660d9cbc938a8e430ecb9cc1f2429f3.jpg,260,31,翻唱,408333,6389,3259,237,17128,6297
168598,逍遥散人,393383,[散人]I wanna ?(????)? 实况,1352782354,54:50,//i1.hdslb.com/bfs/archive/b2e0904412b208ed7a540595f66e37e76e397277.jpg,3290,17,单机游戏,174239,18309,229,244,583,1216
927587,木鱼水心,4522212,【北京遇上西雅图之不二情书】木鱼三分钟影评——在不相信爱的世界中让人相信爱的故事,1462079966,07:04,//i0.hdslb.com/bfs/archive/aa8f2f2a48c03f72acb05565bd6aef82f4733a48.jpg,424,182,影视杂谈,129472,646,406,71,1477,1133
433351,EdmundDZhang,622763,老E和小伙伴们都摔成狗了！,1372445760,11:01,//i0.hdslb.com/bfs/archive/4ab11eb46ac8df10c4394645f94524e2906a9205.jpg,661,171,电子竞技,638446,7546,549,188,946,869
546195,老番茄,3653781,【老番茄】白垩纪菲尔普斯（中）,1453621843,10:29,//i2.hdslb.com/bfs/archive/0ddc1126e14fa65556c36f83a63b5df140c0ad5f.jpg,629,17,单机游戏,769980,9765,2292,982,10206,3101
777536,LexBurner,12173338,【Lex】万恶之源！传说中被称作名作之壁的动画！,1500019228,16:33,//i2.hdslb.com/bfs/archive/d4aad237ce5a9df9a8e5fc8e96a78c3272cc67bd.jpg,993,27,综合,2214777,43318,16573,4520,72859,62145
808171,吃素的狮子,17482158,两位老年UP回忆童年，雪人兄弟背后的故事到底是什么？,1513861047,11:41,//i0.hdslb.com/bfs/archive/194daae4d42fef70b0bf030dc78331d1171c0363.jpg,701,17,单机游戏,239037,1966,1284,3606,3537,1926
1643718,山下智博,5423349,【名侦探柯南】名侦探山下＆Q君的密室推理,1469066083,12:32,//i1.hdslb.com/bfs/archive/a5569af7a5e3d1783c7e8b381948c43b3915746f.jpg,752,17,单机游戏,299883,6413,1107,57,1539,845
946974,影视飓风,31670601,能放进口袋的性能怪兽——索尼RX100VI 黑卡6,1536868988,08:00,//i2.hdslb.com/bfs/archive/dbf7e9dfdec36febbfd3d204aad6558b86482616.jpg,480,190,摄影摄像,103525,831,284,1064,1008,600
927587,木鱼水心,12615787,【木鱼微剧场】《Legal High/胜者即是正义》（P11）动画导演的秘密与世界遗产之争,1501070896,17:46,//i1.hdslb.com/bfs/archive/b6205166530ac8fd39362711b703f2417f8b8aa4.jpg,1066,182,影视杂谈,498493,4368,1556,1093,6135,2517
562197,中国BOY超级大猩猩,3309726,圣诞节购物模拟器2丨黑色星期五买东西都不用付账了？！,1448898191,21:34,//i1.hdslb.com/bfs/archive/994b74d6268d9b0f14887fa9abb6b9fc7ab4753a.jpg,1294,17,单机游戏,188776,2018,317,420,340,861
585267,纯黑-克劳狄乌斯,835746,纯黑《刺客信条4：黑旗》100%同步视频攻略解说 第五期 中文剧情,1384442622,38:44,//i1.hdslb.com/bfs/archive/806115168f38739fb4f8fbefe20b056cc21cd301.jpg,2324,17,单机游戏,312215,10865,286,318,794,1463
927587,木鱼水心,35701391,【木鱼微剧场】《超人：钢铁之躯》DC扩展宇宙电影系列,1541856935,23:25,//i2.hdslb.com/bfs/archive/a14df3c6df1f49b6f768b90b06c8219f8054f272.jpg,1405,182,影视杂谈,556116,5229,2257,10284,7964,2749
1643718,山下智博,35046052,鸡脖视频不好玩！成员挑战制作视频！？【绅士一分钟】,1541046325,09:35,//i1.hdslb.com/bfs/archive/15203951aaffe0322fd89b29ff6e6c7c87cf64c2.jpg,575,138,搞笑,139703,2603,632,5425,2288,548
927587,木鱼水心,43581995,【木鱼微剧场】周杰伦导演处女作《不能说的秘密》情人节快乐,1550160431,28:19,//i1.hdslb.com/bfs/archive/fe14309a676b5bfb842c1ff10937ebe22c30d698.jpg,1699,182,影视杂谈,581141,10354,3931,29774,29930,10769
946974,影视飓风,28459265,收音？我为什么选择用录机,1533311612,05:30,//i0.hdslb.com/bfs/archive/d1542ea8f06cc851ae7220f641a3a1bd6449dfe3.jpg,330,122,野生技术协会,47864,346,202,699,632,501
10462362,天天卡牌,15335519,【逗鱼时刻】第128期 我的奥秘你猜不透,1507824857,13:18,//i2.hdslb.com/bfs/archive/4506510459addb5bb2f16e9ad98da04ca350c302.jpg,798,171,电子竞技,1358908,11779,2472,1967,17393,1116
562197,中国BOY超级大猩猩,9551908,Totally Accurate Battle Zombielator(全面僵尸感染)丨我这一年的BUG体质已经被透支了,1491130045,14:36,//i2.hdslb.com/bfs/archive/3b25cd5262b1be0c7c1dbbe849bffaff5440fe46.jpg,876,17,单机游戏,674996,11369,2814,1275,5223,2780
562197,中国BOY超级大猩猩,671933,【中国BOY大基佬】跟着一群老外去抢劫,1374900474,17:58,//i1.hdslb.com/bfs/archive/f435f238a8c712084124794a873f510460370920.jpg,1078,17,单机游戏,13779,172,41,35,42,43
423895,怕上火暴王老菊,2506910,菊嫂带我玩天刀,1435650038,58:37,//i2.hdslb.com/bfs/archive/54aa5018d7bf6d4958326af07230f44998d582c9.jpg,3517,65,网络游戏,764223,31116,1831,110,817,2015
